trait_tissue	trait_desc	trait_seqid	trait_gene_ids	trait_protein_ids	notes_sex	notes_source_id	notes_maker	notes_maker_platform_technology	notes_maker_platform_description	notes_maker_platform_version
Plasma	Beta-crystallin B2	10000-28	ENSG00000244752	P43320	combined	seq.10000.28	Somalogic	proteomics	SomaScan	7k
Plasma	RAF proto-oncogene serine/threonine-protein kinase	10001-7	ENSG00000132155	P04049	combined	seq.10001.7	Somalogic	proteomics	SomaScan	7k
Plasma	Zinc finger protein 41	10003-15	ENSG00000147124	P51814	combined	seq.10003.15	Somalogic	proteomics	SomaScan	7k
Plasma	ETS domain-containing protein Elk-1	10006-25	ENSG00000126767	P19419	combined	seq.10006.25	Somalogic	proteomics	SomaScan	7k
Plasma	Guanylyl cyclase-activating protein 1	10008-43	ENSG00000048545	P43080	combined	seq.10008.43	Somalogic	proteomics	SomaScan	7k
Plasma	Beclin-1	10010-10	ENSG00000126581	Q14457	combined	seq.10010.10	Somalogic	proteomics	SomaScan	7k
Plasma	Inositol polyphosphate 5-phosphatase OCRL-1	10011-65	ENSG00000122126	Q01968	combined	seq.10011.65	Somalogic	proteomics	SomaScan	7k
Plasma	SAM pointed domain-containing Ets transcription factor	10012-5	ENSG00000124664	O95238	combined	seq.10012.5	Somalogic	proteomics	SomaScan	7k
Plasma	Zinc finger protein SNAI2	10014-31	ENSG00000019549	O43623	combined	seq.10014.31	Somalogic	proteomics	SomaScan	7k
Plasma	Voltage-gated potassium channel subunit beta-2	10015-119	ENSG00000069424	Q13303	combined	seq.10015.119	Somalogic	proteomics	SomaScan	7k
Plasma	DNA polymerase eta	10022-207	ENSG00000170734	Q9Y253	combined	seq.10022.207	Somalogic	proteomics	SomaScan	7k
Plasma	Vitamin D3 receptor	10023-32	ENSG00000111424	P11473	combined	seq.10023.32	Somalogic	proteomics	SomaScan	7k
Plasma	4-hydroxy-2-oxoglutarate aldolase, mitochondrial	10024-44	ENSG00000241935	Q86XE5	combined	seq.10024.44	Somalogic	proteomics	SomaScan	7k
Plasma	Dihydrolipoyl dehydrogenase, mitochondrial	10025-1	ENSG00000091140	P09622	combined	seq.10025.1	Somalogic	proteomics	SomaScan	7k
Plasma	Adenine DNA glycosylase	10030-8	ENSG00000132781	Q9UIF7	combined	seq.10030.8	Somalogic	proteomics	SomaScan	7k
Plasma	Dual specificity protein phosphatase 4	10035-6	ENSG00000120875	Q13115	combined	seq.10035.6	Somalogic	proteomics	SomaScan	7k
Plasma	Zinc fingers and homeoboxes protein 3	10036-201	ENSG00000174306	Q9H4I2	combined	seq.10036.201	Somalogic	proteomics	SomaScan	7k
Plasma	Sialic acid-binding Ig-like lectin 12:Ig-like V-type 2 domain, Isoform long	10037-98	ENSG00000254521	Q96PQ1	combined	seq.10037.98	Somalogic	proteomics	SomaScan	7k
Plasma	Purine nucleoside phosphorylase	10039-32	ENSG00000198805	P00491	combined	seq.10039.32	Somalogic	proteomics	SomaScan	7k
Plasma	Tumor protein 63	10040-63	ENSG00000073282	Q9H3D4	combined	seq.10040.63	Somalogic	proteomics	SomaScan	7k
Plasma	Hepatocyte nuclear factor 4-alpha	10041-3	ENSG00000101076	P41235	combined	seq.10041.3	Somalogic	proteomics	SomaScan	7k
Plasma	Serine/threonine-protein kinase Sgk3	10042-8	ENSG00000104205	Q96BR1	combined	seq.10042.8	Somalogic	proteomics	SomaScan	7k
Plasma	Bromodomain-containing protein 4	10043-31	ENSG00000141867	O60885	combined	seq.10043.31	Somalogic	proteomics	SomaScan	7k
Plasma	Protein Wnt-10a	10044-12	ENSG00000135925	Q9GZT5	combined	seq.10044.12	Somalogic	proteomics	SomaScan	7k
Plasma	Cullin-3	10045-47	ENSG00000036257	Q13618	combined	seq.10045.47	Somalogic	proteomics	SomaScan	7k
Plasma	Baculoviral IAP repeat-containing protein 2	10046-55	ENSG00000110330	Q13490	combined	seq.10046.55	Somalogic	proteomics	SomaScan	7k
Plasma	Neutrophil cytosol factor 2	10047-12	ENSG00000116701	P19878	combined	seq.10047.12	Somalogic	proteomics	SomaScan	7k
Plasma	Core-binding factor subunit beta	10048-7	ENSG00000067955	Q13951	combined	seq.10048.7	Somalogic	proteomics	SomaScan	7k
Plasma	Telomeric repeat-binding factor 1	10049-112	ENSG00000147601	P54274	combined	seq.10049.112	Somalogic	proteomics	SomaScan	7k
Plasma	Integrin-linked protein kinase	10053-5	ENSG00000166333	Q13418	combined	seq.10053.5	Somalogic	proteomics	SomaScan	7k
Plasma	Gigaxonin	10054-3	ENSG00000261609	Q9H2C0	combined	seq.10054.3	Somalogic	proteomics	SomaScan	7k
Plasma	Forkhead box protein M1	10056-5	ENSG00000111206	Q08050	combined	seq.10056.5	Somalogic	proteomics	SomaScan	7k
Plasma	UV excision repair protein RAD23 homolog A	10058-1	ENSG00000179262	P54725	combined	seq.10058.1	Somalogic	proteomics	SomaScan	7k
Plasma	E3 ubiquitin-protein ligase FANCL	10063-10	ENSG00000115392	Q9NW38	combined	seq.10063.10	Somalogic	proteomics	SomaScan	7k
Plasma	Putative hydrolase RBBP9	10064-12	ENSG00000089050	O75884	combined	seq.10064.12	Somalogic	proteomics	SomaScan	7k
Plasma	Peptidyl-prolyl cis-trans isomerase NIMA-interacting 1	10069-2	ENSG00000127445	Q13526	combined	seq.10069.2	Somalogic	proteomics	SomaScan	7k
Plasma	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-2	10070-22	ENSG00000197943	P16885	combined	seq.10070.22	Somalogic	proteomics	SomaScan	7k
Plasma	Tyrosyl-DNA phosphodiesterase 1	10073-22	ENSG00000042088	Q9NUW8	combined	seq.10073.22	Somalogic	proteomics	SomaScan	7k
Plasma	Bromodomain-containing protein 2	10074-128	ENSG00000204256|ENSG00000235307|ENSG00000234507|ENSG00000234704|ENSG00000215077	P25440	combined	seq.10074.128	Somalogic	proteomics	SomaScan	7k
Plasma	Acyl-CoA-binding domain-containing protein 6	10075-75	ENSG00000230124	Q9BR61	combined	seq.10075.75	Somalogic	proteomics	SomaScan	7k
Plasma	AP-4 complex subunit mu-1	10076-1	ENSG00000221838	O00189	combined	seq.10076.1	Somalogic	proteomics	SomaScan	7k
Plasma	BAG family molecular chaperone regulator 3	10078-5	ENSG00000151929	O95817	combined	seq.10078.5	Somalogic	proteomics	SomaScan	7k
Plasma	Translation initiation factor eIF-2B subunit alpha	10080-9	ENSG00000111361	Q14232	combined	seq.10080.9	Somalogic	proteomics	SomaScan	7k
Plasma	DNA-binding protein SATB2	10081-17	ENSG00000119042	Q9UPW6	combined	seq.10081.17	Somalogic	proteomics	SomaScan	7k
Plasma	Neurofilament light polypeptide	10082-251	ENSG00000277586	P07196	combined	seq.10082.251	Somalogic	proteomics	SomaScan	7k
Plasma	Steroidogenic acute regulatory protein, mitochondrial	10085-25	ENSG00000147465	P49675	combined	seq.10085.25	Somalogic	proteomics	SomaScan	7k
Plasma	Cystathionine beta-synthase	10086-39	ENSG00000160200	P35520	combined	seq.10086.39	Somalogic	proteomics	SomaScan	7k
Plasma	Alpha-crystallin A chain	10087-10	ENSG00000160202	P02489	combined	seq.10087.10	Somalogic	proteomics	SomaScan	7k
Plasma	Adenine phosphoribosyltransferase	10088-37	ENSG00000198931	P07741	combined	seq.10088.37	Somalogic	proteomics	SomaScan	7k
Plasma	N-acetylserotonin O-methyltransferase-like protein	10089-7	ENSG00000169093	O95671	combined	seq.10089.7	Somalogic	proteomics	SomaScan	7k
Plasma	E3 ubiquitin-protein ligase CHIP	10336-3	ENSG00000103266	Q9UNE7	combined	seq.10336.3	Somalogic	proteomics	SomaScan	7k
Plasma	Gamma-enolase	10339-48	ENSG00000111674	P09104	combined	seq.10339.48	Somalogic	proteomics	SomaScan	7k
Plasma	E3 SUMO-protein ligase PIAS4	10342-55		Q8N2W9	combined	seq.10342.55	Somalogic	proteomics	SomaScan	7k
Plasma	Interleukin-10 receptor subunit alpha	10344-334	ENSG00000110324	Q13651	combined	seq.10344.334	Somalogic	proteomics	SomaScan	7k
Plasma	Signal transducer and activator of transcription 3	10346-5	ENSG00000168610	P40763	combined	seq.10346.5	Somalogic	proteomics	SomaScan	7k
Plasma	Interferon regulatory factor 1	10351-51	ENSG00000125347	P10914	combined	seq.10351.51	Somalogic	proteomics	SomaScan	7k
Plasma	Signal transducer and activator of transcription 3	10354-57	ENSG00000168610	P40763	combined	seq.10354.57	Somalogic	proteomics	SomaScan	7k
Plasma	Transcription factor AP-1	10356-21	ENSG00000177606	P05412	combined	seq.10356.21	Somalogic	proteomics	SomaScan	7k
Plasma	2'-5'-oligoadenylate synthase 1	10361-25	ENSG00000089127	P00973	combined	seq.10361.25	Somalogic	proteomics	SomaScan	7k
Plasma	Myc proto-oncogene protein	10362-35	ENSG00000136997	P01106	combined	seq.10362.35	Somalogic	proteomics	SomaScan	7k
Plasma	Mothers against decapentaplegic homolog 3	10363-13	ENSG00000166949	P84022	combined	seq.10363.13	Somalogic	proteomics	SomaScan	7k
Plasma	Mothers against decapentaplegic homolog 2	10364-6	ENSG00000175387	Q15796	combined	seq.10364.6	Somalogic	proteomics	SomaScan	7k
Plasma	Interleukin-23	10365-132	ENSG00000113302|ENSG00000110944	P29460|Q9NPF7	combined	seq.10365.132	Somalogic	proteomics	SomaScan	7k
Plasma	Platelet-derived growth factor receptor alpha	10366-11	ENSG00000134853	P16234	combined	seq.10366.11	Somalogic	proteomics	SomaScan	7k
Plasma	Interleukin-12	10367-62	ENSG00000168811|ENSG00000113302	P29459|P29460	combined	seq.10367.62	Somalogic	proteomics	SomaScan	7k
Plasma	Signal transducer and activator of transcription 1-alpha/beta	10370-21	ENSG00000115415	P42224	combined	seq.10370.21	Somalogic	proteomics	SomaScan	7k
Plasma	Signal transducer and activator of transcription 6	10372-18	ENSG00000166888	P42226	combined	seq.10372.18	Somalogic	proteomics	SomaScan	7k
Plasma	Angiopoietin-related protein 3	10382-1	ENSG00000132855	Q9Y5C1	combined	seq.10382.1	Somalogic	proteomics	SomaScan	7k
Plasma	E3 ubiquitin-protein ligase ZNRF3	10390-21	ENSG00000183579	Q9ULT6	combined	seq.10390.21	Somalogic	proteomics	SomaScan	7k
Plasma	Angiopoietin-related protein 3	10391-1	ENSG00000132855	Q9Y5C1	combined	seq.10391.1	Somalogic	proteomics	SomaScan	7k
Plasma	Induced myeloid leukemia cell differentiation protein Mcl-1	10396-6	ENSG00000143384	Q07820	combined	seq.10396.6	Somalogic	proteomics	SomaScan	7k
Plasma	Ankyrin repeat domain-containing protein 1	10398-110	ENSG00000148677	Q15327	combined	seq.10398.110	Somalogic	proteomics	SomaScan	7k
Plasma	Syntaxin-12	10418-36	ENSG00000117758	Q86Y82	combined	seq.10418.36	Somalogic	proteomics	SomaScan	7k
Plasma	Scavenger receptor class A member 5	10419-1	ENSG00000168079	Q6ZMJ2	combined	seq.10419.1	Somalogic	proteomics	SomaScan	7k
Plasma	Fas apoptotic inhibitory molecule 1	10420-30	ENSG00000158234	Q9NVQ4	combined	seq.10420.30	Somalogic	proteomics	SomaScan	7k
Plasma	Neural proliferation differentiation and control protein 1	10424-31	ENSG00000107281	Q9NQX5	combined	seq.10424.31	Somalogic	proteomics	SomaScan	7k
Plasma	Beta-1,4-galactosyltransferase 5	10425-3	ENSG00000158470	O43286	combined	seq.10425.3	Somalogic	proteomics	SomaScan	7k
Plasma	Golgi SNAP receptor complex member 2	10426-21	ENSG00000108433	O14653	combined	seq.10426.21	Somalogic	proteomics	SomaScan	7k
Plasma	Killer cell immunoglobulin-like receptor 2DS2	10428-1	ENSG00000275452|ENSG00000277885|ENSG00000278300	P43631	combined	seq.10428.1	Somalogic	proteomics	SomaScan	7k
Plasma	4F2 cell-surface antigen heavy chain:Cytoplasmic domain	10430-31	ENSG00000168003	P08195	combined	seq.10430.31	Somalogic	proteomics	SomaScan	7k
Plasma	Uncharacterized protein KIAA1644	10432-3	ENSG00000138944	Q3SXP7	combined	seq.10432.3	Somalogic	proteomics	SomaScan	7k
Plasma	N(4)-(beta-N-acetylglucosaminyl)-L-asparaginase	10435-2	ENSG00000038002	P20933	combined	seq.10435.2	Somalogic	proteomics	SomaScan	7k
Plasma	Granulocyte-macrophage colony-stimulating factor receptor subunit alpha	10438-19	ENSG00000198223	P15509	combined	seq.10438.19	Somalogic	proteomics	SomaScan	7k
Plasma	Alpha-amylase 2B	10439-57	ENSG00000240038	P19961	combined	seq.10439.57	Somalogic	proteomics	SomaScan	7k
Plasma	CXADR-like membrane protein:Extracellular domain	10440-26	ENSG00000166250	Q9H6B4	combined	seq.10440.26	Somalogic	proteomics	SomaScan	7k
Plasma	Transmembrane protein 190	10442-1	ENSG00000160472	Q8WZ59	combined	seq.10442.1	Somalogic	proteomics	SomaScan	7k
Plasma	Apolipoprotein M	10445-20	ENSG00000224290|ENSG00000227567|ENSG00000231974|ENSG00000235754|ENSG00000206409|ENSG00000226215|ENSG00000204444	O95445	combined	seq.10445.20	Somalogic	proteomics	SomaScan	7k
Plasma	Polyadenylate-binding protein 3	10447-18	ENSG00000151846	Q9H361	combined	seq.10447.18	Somalogic	proteomics	SomaScan	7k
Plasma	Protein shisa-2 homolog	10449-31	ENSG00000180730	Q6UWI4	combined	seq.10449.31	Somalogic	proteomics	SomaScan	7k
Plasma	Nucleobindin-1	10451-11	ENSG00000104805	Q02818	combined	seq.10451.11	Somalogic	proteomics	SomaScan	7k
Plasma	Carcinoembryonic antigen-related cell adhesion molecule 20	10453-7	ENSG00000273777	Q6UY09	combined	seq.10453.7	Somalogic	proteomics	SomaScan	7k
Plasma	DnaJ homolog subfamily C member 16	10454-99	ENSG00000116138	Q9Y2G8	combined	seq.10454.99	Somalogic	proteomics	SomaScan	7k
Plasma	Interleukin-31	10455-196	ENSG00000204671	Q6EBC2	combined	seq.10455.196	Somalogic	proteomics	SomaScan	7k
Plasma	Interleukin-18 receptor accessory protein	10457-3	ENSG00000115607	O95256	combined	seq.10457.3	Somalogic	proteomics	SomaScan	7k
Plasma	Chitotriosidase-1	10460-1	ENSG00000133063	Q13231	combined	seq.10460.1	Somalogic	proteomics	SomaScan	7k
Plasma	Insulin-like peptide INSL5	10462-14	ENSG00000172410	Q9Y5Q6	combined	seq.10462.14	Somalogic	proteomics	SomaScan	7k
Plasma	Intestinal-type alkaline phosphatase	10463-23	ENSG00000163295	P09923	combined	seq.10463.23	Somalogic	proteomics	SomaScan	7k
Plasma	Anthrax toxin receptor 1	10464-6	ENSG00000169604	Q9H6X2	combined	seq.10464.6	Somalogic	proteomics	SomaScan	7k
Plasma	Thioredoxin domain-containing protein 11:N-term	10470-34	ENSG00000153066	Q6PKC3	combined	seq.10470.34	Somalogic	proteomics	SomaScan	7k
Plasma	Tumor necrosis factor receptor superfamily member 14	10472-53	ENSG00000157873|ENSG00000273936	Q92956	combined	seq.10472.53	Somalogic	proteomics	SomaScan	7k
Plasma	Trefoil factor 2	10473-2	ENSG00000160181	Q03403	combined	seq.10473.2	Somalogic	proteomics	SomaScan	7k
Plasma	Stromelysin-2	10479-18	ENSG00000166670	P09238	combined	seq.10479.18	Somalogic	proteomics	SomaScan	7k
Plasma	CD59 glycoprotein	10480-33	ENSG00000085063	P13987	combined	seq.10480.33	Somalogic	proteomics	SomaScan	7k
Plasma	Melanoma-associated antigen 4	10485-56	ENSG00000147381	P43358	combined	seq.10485.56	Somalogic	proteomics	SomaScan	7k
Plasma	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1:Cytoplasmic domain	10490-3	ENSG00000163902	P04843	combined	seq.10490.3	Somalogic	proteomics	SomaScan	7k
Plasma	Calcium-activated chloride channel regulator 1	10496-11	ENSG00000016490	A8K7I4	combined	seq.10496.11	Somalogic	proteomics	SomaScan	7k
Plasma	Transmembrane protein 106A	10499-1	ENSG00000184988	Q96A25	combined	seq.10499.1	Somalogic	proteomics	SomaScan	7k
Plasma	E3 ubiquitin-protein ligase RNF43	10505-12	ENSG00000108375	Q68DV7	combined	seq.10505.12	Somalogic	proteomics	SomaScan	7k
Plasma	Membrane-associated progesterone receptor component 2	10506-53	ENSG00000164040	O15173	combined	seq.10506.53	Somalogic	proteomics	SomaScan	7k
Plasma	Acrosomal protein SP-10	10507-166	ENSG00000134940	P26436	combined	seq.10507.166	Somalogic	proteomics	SomaScan	7k
Plasma	SLP adapter and CSK-interacting membrane protein	10510-62	ENSG00000161929	Q6UWF3	combined	seq.10510.62	Somalogic	proteomics	SomaScan	7k
Plasma	Collagen alpha-3(VI) chain:isoform 3	10511-10	ENSG00000163359	P12111	combined	seq.10511.10	Somalogic	proteomics	SomaScan	7k
Plasma	Cytokine receptor common subunit beta:Extracellular domain	10512-13	ENSG00000100368	P32927	combined	seq.10512.13	Somalogic	proteomics	SomaScan	7k
Plasma	Calsenilin	10513-13	ENSG00000115041	Q9Y2W7	combined	seq.10513.13	Somalogic	proteomics	SomaScan	7k
Plasma	Prostaglandin-H2 D-isomerase	10514-5	ENSG00000107317	P41222	combined	seq.10514.5	Somalogic	proteomics	SomaScan	7k
Plasma	Matrix-remodeling-associated protein 8:Extracellular domain	10521-10	ENSG00000162576	Q9BRK3	combined	seq.10521.10	Somalogic	proteomics	SomaScan	7k
Plasma	ATP-dependent RNA helicase A	10527-22	ENSG00000135829	Q08211	combined	seq.10527.22	Somalogic	proteomics	SomaScan	7k
Plasma	Dipeptidase 1	10528-2	ENSG00000015413	P16444	combined	seq.10528.2	Somalogic	proteomics	SomaScan	7k
Plasma	Proteasome subunit beta type-6	10530-8	ENSG00000142507	P28072	combined	seq.10530.8	Somalogic	proteomics	SomaScan	7k
Plasma	GTPase NRas	10531-18	ENSG00000213281	P01111	combined	seq.10531.18	Somalogic	proteomics	SomaScan	7k
Plasma	Poly [ADP-ribose] polymerase 1:BRCA1 C-terminal:BRCA1 C-terminus domian	10534-40	ENSG00000143799	P09874	combined	seq.10534.40	Somalogic	proteomics	SomaScan	7k
Plasma	Cytochrome c oxidase subunit 6A2, mitochondrial	10535-25	ENSG00000156885	Q02221	combined	seq.10535.25	Somalogic	proteomics	SomaScan	7k
Plasma	CD99 antigen-like protein 2	10539-30	ENSG00000102181	Q8TCZ2	combined	seq.10539.30	Somalogic	proteomics	SomaScan	7k
Plasma	Thrombospondin-type laminin G domain and EAR repeat-containing protein	10546-2	ENSG00000175894	Q8WU66	combined	seq.10546.2	Somalogic	proteomics	SomaScan	7k
Plasma	Bone morphogenetic protein receptor type-1B	10550-37	ENSG00000138696	O00238	combined	seq.10550.37	Somalogic	proteomics	SomaScan	7k
Plasma	Linker for activation of T-cells family member 1	10551-7	ENSG00000213658	O43561	combined	seq.10551.7	Somalogic	proteomics	SomaScan	7k
Plasma	NKG2-F type II integral membrane protein	10552-88	ENSG00000183542	O43908	combined	seq.10552.88	Somalogic	proteomics	SomaScan	7k
Plasma	Torsin-1A-interacting protein 2	10553-8	ENSG00000169905	Q8NFQ8	combined	seq.10553.8	Somalogic	proteomics	SomaScan	7k
Plasma	Beta-galactosidase	10554-23	ENSG00000170266	P16278	combined	seq.10554.23	Somalogic	proteomics	SomaScan	7k
Plasma	Testis-expressed sequence 29 protein	10557-6	ENSG00000153495	Q8N6K0	combined	seq.10557.6	Somalogic	proteomics	SomaScan	7k
Plasma	Protocadherin-9	10558-26	ENSG00000184226	Q9HC56	combined	seq.10558.26	Somalogic	proteomics	SomaScan	7k
Plasma	Integral membrane protein 2C:N-term	10560-1	ENSG00000135916	Q9NQX7	combined	seq.10560.1	Somalogic	proteomics	SomaScan	7k
Plasma	Peptidoglycan recognition protein 3	10561-5	ENSG00000159527	Q96LB9	combined	seq.10561.5	Somalogic	proteomics	SomaScan	7k
Plasma	Neuropilin and tolloid-like protein 2	10562-42	ENSG00000171208	Q8NC67	combined	seq.10562.42	Somalogic	proteomics	SomaScan	7k
Plasma	LysM and putative peptidoglycan-binding domain-containing protein 3	10563-13	ENSG00000176018	Q7Z3D4	combined	seq.10563.13	Somalogic	proteomics	SomaScan	7k
Plasma	SLIT and NTRK-like protein 3	10565-19	ENSG00000121871	O94933	combined	seq.10565.19	Somalogic	proteomics	SomaScan	7k
Plasma	Microfibrillar-associated protein 2	10569-28	ENSG00000117122	P55001	combined	seq.10569.28	Somalogic	proteomics	SomaScan	7k
Plasma	Alpha-1,3-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase	10571-14	ENSG00000131446	P26572	combined	seq.10571.14	Somalogic	proteomics	SomaScan	7k
Plasma	Cystatin-8	10572-65	ENSG00000125815	O60676	combined	seq.10572.65	Somalogic	proteomics	SomaScan	7k
Plasma	Beta-2-microglobulin	10574-10	ENSG00000166710|ENSG00000273686	P61769	combined	seq.10574.10	Somalogic	proteomics	SomaScan	7k
Plasma	Poly(U)-binding-splicing factor PUF60	10575-31	ENSG00000274081|ENSG00000179950	Q9UHX1	combined	seq.10575.31	Somalogic	proteomics	SomaScan	7k
Plasma	Plexin domain-containing protein 2:Extracellular domain	10576-7	ENSG00000120594	Q6UX71	combined	seq.10576.7	Somalogic	proteomics	SomaScan	7k
Plasma	Surfactant-associated protein 2	10580-14	ENSG00000237814|ENSG00000225454|ENSG00000230072|ENSG00000206465|ENSG00000196260	Q6UW10	combined	seq.10580.14	Somalogic	proteomics	SomaScan	7k
Plasma	Protein O-mannose kinase	10582-36	ENSG00000185900	Q9H5K3	combined	seq.10582.36	Somalogic	proteomics	SomaScan	7k
Plasma	Transmembrane protein 108	10583-1	ENSG00000144868	Q6UXF1	combined	seq.10583.1	Somalogic	proteomics	SomaScan	7k
Plasma	NADH dehydrogenase [ubiquinone] iron-sulfur protein 4, mitochondrial	10584-7	ENSG00000164258	O43181	combined	seq.10584.7	Somalogic	proteomics	SomaScan	7k
Plasma	Lactosylceramide alpha-2,3-sialyltransferase	10588-39	ENSG00000115525	Q9UNP4	combined	seq.10588.39	Somalogic	proteomics	SomaScan	7k
Plasma	Retinoic acid early transcript 1L protein	10589-7	ENSG00000155918	Q5VY80	combined	seq.10589.7	Somalogic	proteomics	SomaScan	7k
Plasma	Calmegin	10600-24	ENSG00000153132	O14967	combined	seq.10600.24	Somalogic	proteomics	SomaScan	7k
Plasma	Histatin-3	10603-1	ENSG00000282967|ENSG00000205649	P15516	combined	seq.10603.1	Somalogic	proteomics	SomaScan	7k
Plasma	Adipocyte plasma membrane-associated protein	10605-22	ENSG00000101474	Q9HDC9	combined	seq.10605.22	Somalogic	proteomics	SomaScan	7k
Plasma	Torsin-1A-interacting protein 1:Perinuclear domain	10606-34	ENSG00000143337	Q5JTV8	combined	seq.10606.34	Somalogic	proteomics	SomaScan	7k
Plasma	Histatin-1	10608-9	ENSG00000126550|ENSG00000283046	P15515	combined	seq.10608.9	Somalogic	proteomics	SomaScan	7k
Plasma	Procollagen-lysine,2-oxoglutarate 5-dioxygenase 3	10612-18	ENSG00000106397	O60568	combined	seq.10612.18	Somalogic	proteomics	SomaScan	7k
Plasma	Protein CASC4	10613-33	ENSG00000166734	Q6P4E1	combined	seq.10613.33	Somalogic	proteomics	SomaScan	7k
Plasma	Myelin protein P0	10615-18	ENSG00000158887	P25189	combined	seq.10615.18	Somalogic	proteomics	SomaScan	7k
Plasma	Podocalyxin-like protein 2	10616-67	ENSG00000114631	Q9NZ53	combined	seq.10616.67	Somalogic	proteomics	SomaScan	7k
Plasma	Low-density lipoprotein receptor-related protein 2	10618-190	ENSG00000081479	P98164	combined	seq.10618.190	Somalogic	proteomics	SomaScan	7k
Plasma	Beta-microseminoprotein	10620-21	ENSG00000263639	P08118	combined	seq.10620.21	Somalogic	proteomics	SomaScan	7k
Plasma	Protein Largen	10621-26	ENSG00000184838	Q569H4	combined	seq.10621.26	Somalogic	proteomics	SomaScan	7k
Plasma	Mucin-1:region 1	10623-19	ENSG00000185499	P15941	combined	seq.10623.19	Somalogic	proteomics	SomaScan	7k
Plasma	Serine protease inhibitor Kazal-type 13	10624-45	ENSG00000214510	Q1W4C9	combined	seq.10624.45	Somalogic	proteomics	SomaScan	7k
Plasma	Alpha-N-acetylgalactosaminide alpha-2,6-sialyltransferase 3	10626-116	ENSG00000184005	Q8NDV1	combined	seq.10626.116	Somalogic	proteomics	SomaScan	7k
Plasma	Amyloid-like protein 2	10627-87	ENSG00000084234	Q06481	combined	seq.10627.87	Somalogic	proteomics	SomaScan	7k
Plasma	Oxidoreductase HTATIP2	10630-5	ENSG00000109854	Q9BUP3	combined	seq.10630.5	Somalogic	proteomics	SomaScan	7k
Plasma	Membrane-associated progesterone receptor component 2	10631-9	ENSG00000164040	O15173	combined	seq.10631.9	Somalogic	proteomics	SomaScan	7k
Plasma	Cell surface glycoprotein CD200 receptor 1:Isoform 4, Cytoplasmic Domain	10636-1	ENSG00000163606	Q8TD46	combined	seq.10636.1	Somalogic	proteomics	SomaScan	7k
Plasma	UPF0577 protein KIAA1324:Extracellular domain	10637-50	ENSG00000116299	Q6UXG2	combined	seq.10637.50	Somalogic	proteomics	SomaScan	7k
Plasma	TERF1-interacting nuclear factor 2	10638-1	ENSG00000092330|ENSG00000284915	Q9BSI4	combined	seq.10638.1	Somalogic	proteomics	SomaScan	7k
Plasma	Noelin-3:Isoform 2, C-term	10643-16	ENSG00000118733	Q96PB7	combined	seq.10643.16	Somalogic	proteomics	SomaScan	7k
Plasma	Activating signal cointegrator 1 complex subunit 1	10647-18	ENSG00000138303	Q8N9N2	combined	seq.10647.18	Somalogic	proteomics	SomaScan	7k
Plasma	Insulin-induced gene 1 protein	10663-42	ENSG00000186480	O15503	combined	seq.10663.42	Somalogic	proteomics	SomaScan	7k
Plasma	N-acetylglucosamine-1-phosphotransferase subunit gamma	10666-7	ENSG00000090581	Q9UJJ9	combined	seq.10666.7	Somalogic	proteomics	SomaScan	7k
Plasma	Uncharacterized protein C1orf185	10667-78	ENSG00000204006	Q5T7R7	combined	seq.10667.78	Somalogic	proteomics	SomaScan	7k
Plasma	Syntaxin-4	10668-5	ENSG00000103496	Q12846	combined	seq.10668.5	Somalogic	proteomics	SomaScan	7k
Plasma	Semaphorin-3E	10670-26	ENSG00000170381	O15041	combined	seq.10670.26	Somalogic	proteomics	SomaScan	7k
Plasma	Pulmonary surfactant-associated protein B	10672-75	ENSG00000168878	P07988	combined	seq.10672.75	Somalogic	proteomics	SomaScan	7k
Plasma	Thioredoxin-related transmembrane protein 2	10675-223	ENSG00000213593	Q9Y320	combined	seq.10675.223	Somalogic	proteomics	SomaScan	7k
Plasma	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 4	10677-9	ENSG00000065518	O95168	combined	seq.10677.9	Somalogic	proteomics	SomaScan	7k
Plasma	Killer cell lectin-like receptor subfamily G member 2:C-term	10693-43	ENSG00000188883	A4D1S0	combined	seq.10693.43	Somalogic	proteomics	SomaScan	7k
Plasma	Protein WFDC10B	10695-12	ENSG00000182931	Q8IUB3	combined	seq.10695.12	Somalogic	proteomics	SomaScan	7k
Plasma	Prolow-density lipoprotein receptor-related protein 1	10699-52	ENSG00000123384	Q07954	combined	seq.10699.52	Somalogic	proteomics	SomaScan	7k
Plasma	Immunoglobulin superfamily member 11:Cytoplasmic domain	10700-10	ENSG00000144847	Q5DX21	combined	seq.10700.10	Somalogic	proteomics	SomaScan	7k
Plasma	Collagen alpha-1(XXVIII) chain	10702-1	ENSG00000215018	Q2UY09	combined	seq.10702.1	Somalogic	proteomics	SomaScan	7k
Plasma	Sin3 histone deacetylase corepressor complex component SDS3	10703-203	ENSG00000111707	Q9H7L9	combined	seq.10703.203	Somalogic	proteomics	SomaScan	7k
Plasma	Lymphoid-restricted membrane protein	10704-91	ENSG00000118308	Q12912	combined	seq.10704.91	Somalogic	proteomics	SomaScan	7k
