trait_tissue	trait_desc	trait_seqid	trait_gene_ids	trait_protein_ids	notes_sex	notes_source_id	notes_maker	notes_maker_platform_technology	notes_maker_platform_description	notes_maker_platform_version
Plasma	Nucleoside diphosphate kinase, mitochondrial	16809-1	ENSG00000103202	O00746	combined	seq.16809.1	Somalogic	proteomics	SomaScan	7k
Plasma	Rab GDP dissociation inhibitor alpha	16810-3	ENSG00000203879	P31150	combined	seq.16810.3	Somalogic	proteomics	SomaScan	7k
Plasma	Four and a half LIM domains protein 1	16814-13	ENSG00000022267	Q13642	combined	seq.16814.13	Somalogic	proteomics	SomaScan	7k
Plasma	CUB domain-containing protein 1	16818-200	ENSG00000163814	Q9H5V8	combined	seq.16818.200	Somalogic	proteomics	SomaScan	7k
Plasma	Apolipoprotein L3	16823-75	ENSG00000128284	O95236	combined	seq.16823.75	Somalogic	proteomics	SomaScan	7k
Plasma	Ataxin-3	16825-20	ENSG00000066427	P54252	combined	seq.16825.20	Somalogic	proteomics	SomaScan	7k
Plasma	Collagen alpha-1(VI) chain	16828-8	ENSG00000142156	P12109	combined	seq.16828.8	Somalogic	proteomics	SomaScan	7k
Plasma	Docking protein 1	16831-7	ENSG00000115325	Q99704	combined	seq.16831.7	Somalogic	proteomics	SomaScan	7k
Plasma	Complement factor H-related protein 3	16836-1	ENSG00000116785	Q02985	combined	seq.16836.1	Somalogic	proteomics	SomaScan	7k
Plasma	CASP8 and FADD-like apoptosis regulator	16837-20	ENSG00000003402	O15519	combined	seq.16837.20	Somalogic	proteomics	SomaScan	7k
Plasma	Myelin protein zero-like protein 1	16845-15	ENSG00000197965	O95297	combined	seq.16845.15	Somalogic	proteomics	SomaScan	7k
Plasma	Ras-related protein Rab-3B	16847-39	ENSG00000169213	P20337	combined	seq.16847.39	Somalogic	proteomics	SomaScan	7k
Plasma	Regulator of G-protein signaling 5	16850-5	ENSG00000143248	O15539	combined	seq.16850.5	Somalogic	proteomics	SomaScan	7k
Plasma	Protein SCO2 homolog, mitochondrial	16851-50	ENSG00000284194	O43819	combined	seq.16851.50	Somalogic	proteomics	SomaScan	7k
Plasma	Na(+)/H(+) exchange regulatory cofactor NHE-RF3	16852-10	ENSG00000174827	Q5T2W1	combined	seq.16852.10	Somalogic	proteomics	SomaScan	7k
Plasma	Nicotinamide riboside kinase 1	16853-5	Bacterial	Q9NWW6	combined	seq.16853.5	Somalogic	proteomics	SomaScan	7k
Plasma	U6 snRNA-associated Sm-like protein LSm4	16854-17	ENSG00000130520	Q9Y4Z0	combined	seq.16854.17	Somalogic	proteomics	SomaScan	7k
Plasma	Microtubule-associated protein RP/EB family member 2	16856-79	ENSG00000166974	Q15555	combined	seq.16856.79	Somalogic	proteomics	SomaScan	7k
Plasma	Ras-related protein Rab-2A	16857-2	ENSG00000104388	P61019	combined	seq.16857.2	Somalogic	proteomics	SomaScan	7k
Plasma	Reticulocalbin-3	16858-384	ENSG00000142552	Q96D15	combined	seq.16858.384	Somalogic	proteomics	SomaScan	7k
Plasma	Endophilin-B1	16859-100	ENSG00000097033	Q9Y371	combined	seq.16859.100	Somalogic	proteomics	SomaScan	7k
Plasma	N-acylneuraminate-9-phosphatase	16863-47	ENSG00000170191	Q8TBE9	combined	seq.16863.47	Somalogic	proteomics	SomaScan	7k
Plasma	TATA-binding protein-associated factor 2N	16865-62	ENSG00000270647|ENSG00000276833	Q92804	combined	seq.16865.62	Somalogic	proteomics	SomaScan	7k
Plasma	Cyclin-dependent kinase 16	16867-76	5127	Q00536	combined	seq.16867.76	Somalogic	proteomics	SomaScan	7k
Plasma	Maleylacetoacetate isomerase	16872-248	ENSG00000100577	O43708	combined	seq.16872.248	Somalogic	proteomics	SomaScan	7k
Plasma	Protein mago nashi homolog 2	16875-13	ENSG00000111196	Q96A72	combined	seq.16875.13	Somalogic	proteomics	SomaScan	7k
Plasma	Methionine-R-sulfoxide reductase B2, mitochondrial	16877-19	ENSG00000148450	Q9Y3D2	combined	seq.16877.19	Somalogic	proteomics	SomaScan	7k
Plasma	14 kDa phosphohistidine phosphatase	16882-27	ENSG00000054148	Q9NRX4	combined	seq.16882.27	Somalogic	proteomics	SomaScan	7k
Plasma	Ras-related protein Rab-4A	16883-57	ENSG00000168118	P20338	combined	seq.16883.57	Somalogic	proteomics	SomaScan	7k
Plasma	Microtubule-associated protein RP/EB family member 3	16885-49	ENSG00000084764	Q9UPY8	combined	seq.16885.49	Somalogic	proteomics	SomaScan	7k
Plasma	Peptidyl-tRNA hydrolase 2, mitochondrial	16887-29	ENSG00000141378	Q9Y3E5	combined	seq.16887.29	Somalogic	proteomics	SomaScan	7k
Plasma	ADAMTS-like protein 1	16890-37	ENSG00000178031	Q8N6G6	combined	seq.16890.37	Somalogic	proteomics	SomaScan	7k
