SeqID	Target_Name	UniProt_BELIEVE	UniProt_Literature	UniProt_Match
seq.25436.44	Saccharopine dehydrogenase-like oxidoreductase	Q8NBX0	Q8NBX0	True
seq.25437.18	Ankyrin repeat and MYND domain-containing protein 2	Q8IV38	Q8IV38	True
seq.25438.288	5'-nucleotidase domain-containing protein 1	Q5TFE4	Q5TFE4	True
seq.25444.29	Type I inositol 1,4,5-trisphosphate 5-phosphatase	Q14642	Q14642	True
seq.25446.34	Protein DDI1 homolog 2	Q5TDH0	Q5TDH0	True
seq.25451.39	Transcriptional coactivator YAP1	P46937	P46937	True
seq.25452.16	Myb/SANT-like DNA-binding domain-containing protein 2	Q6P1R3	Q6P1R3	True
seq.25453.57	Ropporin-1B	Q9BZX4	Q9BZX4	True
seq.25454.38	Protein arginine N-methyltransferase 2	P55345	P55345	True
seq.25456.73	26S protease regulatory subunit 8	P62195	P62195	True
seq.25459.3	O-acetyl-ADP-ribose deacetylase MACROD2	A1Z1Q3	A1Z1Q3	True
seq.25460.36	Interferon regulatory factor 5	Q13568	Q13568	True
seq.25461.3	S-arrestin	P10523	P10523	True
seq.25463.3	cAMP-dependent protein kinase type II-beta regulatory subunit	P31323	P31323	True
seq.25464.1	Cytochrome P450 2C19	P33261	P33261	True
seq.25465.42	Muscular LMNA-interacting protein	Q5VWP3	Q5VWP3	True
seq.25466.84	Kynurenine 3-monooxygenase	O15229	O15229	True
seq.25468.5	SOX-9	P48436	P48436	True
seq.25472.12	Brain-enriched guanylate kinase-associated protein	Q9BUH8	Q9BUH8	True
seq.25473.62	Protein farnesyltransferase/geranylgeranyltransferase type-1 subunit alpha	P49354	P49354	True
seq.25479.8	Leucine-rich repeat flightless-interacting protein 2	Q9Y608	Q9Y608	True
seq.25480.21	Ubiquitin-associated domain-containing protein 1	Q9BSL1	Q9BSL1	True
seq.25481.66	Ataxin-10	Q9UBB4	Q9UBB4	True
seq.25482.5	Nuclear factor 1 A-type	Q12857	Q12857	True
seq.25484.120	AT-rich interactive domain-containing protein 3C	A6NKF2	A6NKF2	True
seq.25486.38	39S ribosomal protein L38, mitochondrial	Q96DV4	Q96DV4	True
seq.25488.6	Pleckstrin homology domain-containing family O member 2	Q8TD55	Q8TD55	True
seq.25491.54	Endoplasmic reticulum junction formation protein lunapark	Q9C0E8	Q9C0E8	True
seq.25492.7	Target of Myb protein 1	O60784	O60784	True
seq.25493.11	Protein FAM221B	A6H8Z2	A6H8Z2	True
seq.25497.35	SEC14-like protein 4	Q9UDX3	Q9UDX3	True
seq.25499.37	Phospholipase DDHD2	O94830	O94830	True
seq.25500.6	Rab11 family-interacting protein 3	O75154	O75154	True
seq.25501.128	Cytokine-dependent hematopoietic cell linker	Q7Z7G1	Q7Z7G1	True
seq.2558.51	Beta-endorphin	P01189	P01189	True
seq.2567.5	Complement factor I	P05156	P05156	True
seq.2570.72	Insulin-like growth factor-binding protein 2	P18065	P18065	True
seq.2571.12	Insulin-like growth factor-binding protein 3	P17936	P17936	True
seq.2573.20	Interleukin-6	P05231	P05231	True
seq.2575.5	Leptin	P41159	P41159	True
seq.2578.67	C-C motif chemokine 2	P13500	P13500	True
seq.2579.17	Matrix metalloproteinase-9	P14780	P14780	True
seq.2580.83	Myeloperoxidase	P05164	P05164	True
seq.2585.2	Prolactin	P01236	P01236	True
seq.25879.6	Histone acetyltransferase KAT5	Q92993	Q92993	True
seq.25880.14	5-Lipoxygenase	P09917	P09917	True
seq.25886.11	ATP-binding cassette sub-family D member 4	O14678	O14678	True
seq.25889.108	Absent in melanoma 2	O14862	O14862	True
seq.25895.29	Caspase-5	P51878	P51878	True
seq.25898.4	Chitinase domain-containing protein 1	Q9BWS9	Q9BWS9	True
seq.2590.69	Inactive tyrosine-protein kinase transmembrane receptor ROR1	Q01973	Q01973	True
seq.25901.3	CREB-regulated transcription coactivator 3	Q6UUV7	Q6UUV7	True
seq.25902.27	Glutamate dehydrogenase 1, mitochondrial	P00367	P00367	True
seq.25904.17	Dedicator of cytokinesis protein 2	Q92608	Q92608	True
seq.25906.5	Elongation factor 1-alpha 1	P68104	P68104	True
seq.25907.47	Echinoderm microtubule-associated protein-like 2	O95834	O95834	True
seq.25910.1	IgGFc-binding protein	Q9Y6R7	Q9Y6R7	True
seq.25912.131	FK506 binding protein 1A	P62942	P62942	True
seq.25913.17	Ferritin heavy chain	P02794	P02794	True
seq.25917.12	Beta-hexosaminidase alpha chain	P06865	P06865	True
seq.25918.60	HLA class I histocompatibility antigen, alpha chain E	P13747	P13747	True
seq.25921.3	Inhibin a subunit	P05111	P05111	True
seq.25922.7	Low-density lipoprotein receptor-related protein 5	O75197	O75197	True
seq.25926.29	LIM domain-binding protein 1	Q86U70	Q86U70	True
seq.25938.13	Neurogenin-3	Q9Y4Z2	Q9Y4Z2	True
seq.25941.4	2'-5'-oligoadenylate synthetase like protein	Q15646	Q15646	True
seq.25947.116	Phosphatidylinositol 3-kinase catalytic subunit type 3	Q8NEB9	Q8NEB9	True
seq.25948.18	Serine/threonine-protein kinase N2	Q16513	Q16513	True
seq.25949.3	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase delta-3	Q8N3E9	Q8N3E9	True
seq.25951.17	Preferentially expressed antigen of melanoma	P78395	P78395	True
seq.25954.3	Receptor-type tyrosine-protein phosphatase-like N	Q16849	Q16849	True
seq.25956.9	Rap guanine nucleotide exchange factor 1	Q13905	Q13905	True
seq.25957.5	Sex-determining region Y protein	Q05066	Q05066	True
seq.25960.15	Plastin-3	P13797	P13797	True
