SeqID	Target_Name	UniProt_BELIEVE	UniProt_Literature	UniProt_Match
seq.10000.28	Beta-crystallin B2	P43320	P43320	True
seq.10001.7	RAF proto-oncogene serine/threonine-protein kinase	P04049	P04049	True
seq.10003.15	Zinc finger protein 41	P51814	P51814	True
seq.10006.25	ETS domain-containing protein Elk-1	P19419	P19419	True
seq.10008.43	Guanylyl cyclase-activating protein 1	P43080	P43080	True
seq.10010.10	Beclin-1	Q14457	Q14457	True
seq.10011.65	Inositol polyphosphate 5-phosphatase OCRL-1	Q01968	Q01968	True
seq.10012.5	SAM pointed domain-containing Ets transcription factor	O95238	O95238	True
seq.10014.31	Zinc finger protein SNAI2	O43623	O43623	True
seq.10015.119	Voltage-gated potassium channel subunit beta-2	Q13303	Q13303	True
seq.10022.207	DNA polymerase eta	Q9Y253	Q9Y253	True
seq.10023.32	Vitamin D3 receptor	P11473	P11473	True
seq.10024.44	4-hydroxy-2-oxoglutarate aldolase, mitochondrial	Q86XE5	Q86XE5	True
seq.10025.1	Dihydrolipoyl dehydrogenase, mitochondrial	P09622	P09622	True
seq.10030.8	Adenine DNA glycosylase	Q9UIF7	Q9UIF7	True
seq.10035.6	Dual specificity protein phosphatase 4	Q13115	Q13115	True
seq.10036.201	Zinc fingers and homeoboxes protein 3	Q9H4I2	Q9H4I2	True
seq.10037.98	Sialic acid-binding Ig-like lectin 12:Ig-like V-type 2 domain, Isoform long	Q96PQ1	Q96PQ1	True
seq.10039.32	Purine nucleoside phosphorylase	P00491	P00491	True
seq.10040.63	Tumor protein 63	Q9H3D4	Q9H3D4	True
seq.10041.3	Hepatocyte nuclear factor 4-alpha	P41235	P41235	True
seq.10042.8	Serine/threonine-protein kinase Sgk3	Q96BR1	Q96BR1	True
seq.10043.31	Bromodomain-containing protein 4	O60885	O60885	True
seq.10044.12	Protein Wnt-10a	Q9GZT5	Q9GZT5	True
seq.10045.47	Cullin-3	Q13618	Q13618	True
seq.10046.55	Baculoviral IAP repeat-containing protein 2	Q13490	Q13490	True
seq.10047.12	Neutrophil cytosol factor 2	P19878	P19878	True
seq.10048.7	Core-binding factor subunit beta	Q13951	Q13951	True
seq.10049.112	Telomeric repeat-binding factor 1	P54274	P54274	True
seq.10053.5	Integrin-linked protein kinase	Q13418	Q13418	True
seq.10054.3	Gigaxonin	Q9H2C0	Q9H2C0	True
seq.10056.5	Forkhead box protein M1	Q08050	Q08050	True
seq.10058.1	UV excision repair protein RAD23 homolog A	P54725	P54725	True
seq.10063.10	E3 ubiquitin-protein ligase FANCL	Q9NW38	Q9NW38	True
seq.10064.12	Putative hydrolase RBBP9	O75884	O75884	True
seq.10069.2	Peptidyl-prolyl cis-trans isomerase NIMA-interacting 1	Q13526	Q13526	True
seq.10070.22	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-2	P16885	P16885	True
seq.10073.22	Tyrosyl-DNA phosphodiesterase 1	Q9NUW8	Q9NUW8	True
seq.10074.128	Bromodomain-containing protein 2	P25440	P25440	True
seq.10075.75	Acyl-CoA-binding domain-containing protein 6	Q9BR61	Q9BR61	True
seq.10076.1	AP-4 complex subunit mu-1	O00189	O00189	True
seq.10078.5	BAG family molecular chaperone regulator 3	O95817	O95817	True
seq.10080.9	Translation initiation factor eIF-2B subunit alpha	Q14232	Q14232	True
seq.10081.17	DNA-binding protein SATB2	Q9UPW6	Q9UPW6	True
seq.10082.251	Neurofilament light polypeptide	P07196	P07196	True
seq.10085.25	Steroidogenic acute regulatory protein, mitochondrial	P49675	P49675	True
seq.10086.39	Cystathionine beta-synthase	P35520	P35520	True
seq.10087.10	Alpha-crystallin A chain	P02489	P02489	True
seq.10088.37	Adenine phosphoribosyltransferase	P07741	P07741	True
seq.10089.7	N-acetylserotonin O-methyltransferase-like protein	O95671	O95671	True
seq.10336.3	E3 ubiquitin-protein ligase CHIP	Q9UNE7	Q9UNE7	True
seq.10339.48	Gamma-enolase	P09104	P09104	True
seq.10342.55	E3 SUMO-protein ligase PIAS4	Q8N2W9	Q8N2W9	True
seq.10344.334	Interleukin-10 receptor subunit alpha	Q13651	Q13651	True
seq.10346.5	Signal transducer and activator of transcription 3	P40763	P40763	True
seq.10351.51	Interferon regulatory factor 1	P10914	P10914	True
seq.10354.57	Signal transducer and activator of transcription 3	P40763	P40763	True
seq.10356.21	Transcription factor AP-1	P05412	P05412	True
seq.10361.25	2'-5'-oligoadenylate synthase 1	P00973	P00973	True
seq.10362.35	Myc proto-oncogene protein	P01106	P01106	True
seq.10363.13	Mothers against decapentaplegic homolog 3	P84022	P84022	True
seq.10364.6	Mothers against decapentaplegic homolog 2	Q15796	Q15796	True
seq.10365.132	Interleukin-23	P29460|Q9NPF7	P29460|Q9NPF7	True
seq.10366.11	Platelet-derived growth factor receptor alpha	P16234	P16234	True
seq.10367.62	Interleukin-12	P29459|P29460	P29459|P29460	True
seq.10370.21	Signal transducer and activator of transcription 1-alpha/beta	P42224	P42224	True
seq.10372.18	Signal transducer and activator of transcription 6	P42226	P42226	True
seq.10382.1	Angiopoietin-related protein 3	Q9Y5C1	Q9Y5C1	True
seq.10390.21	E3 ubiquitin-protein ligase ZNRF3	Q9ULT6	Q9ULT6	True
seq.10391.1	Angiopoietin-related protein 3	Q9Y5C1	Q9Y5C1	True
seq.10396.6	Induced myeloid leukemia cell differentiation protein Mcl-1	Q07820	Q07820	True
seq.10398.110	Ankyrin repeat domain-containing protein 1	Q15327	Q15327	True
seq.10418.36	Syntaxin-12	Q86Y82	Q86Y82	True
seq.10419.1	Scavenger receptor class A member 5	Q6ZMJ2	Q6ZMJ2	True
seq.10420.30	Fas apoptotic inhibitory molecule 1	Q9NVQ4	Q9NVQ4	True
seq.10424.31	Neural proliferation differentiation and control protein 1	Q9NQX5	Q9NQX5	True
seq.10425.3	Beta-1,4-galactosyltransferase 5	O43286	O43286	True
seq.10426.21	Golgi SNAP receptor complex member 2	O14653	O14653	True
seq.10428.1	Killer cell immunoglobulin-like receptor 2DS2	P43631	P43631	True
seq.10430.31	4F2 cell-surface antigen heavy chain:Cytoplasmic domain	P08195	P08195	True
seq.10432.3	Uncharacterized protein KIAA1644	Q3SXP7	Q3SXP7	True
seq.10435.2	N(4)-(beta-N-acetylglucosaminyl)-L-asparaginase	P20933	P20933	True
seq.10438.19	Granulocyte-macrophage colony-stimulating factor receptor subunit alpha	P15509	P15509	True
seq.10439.57	Alpha-amylase 2B	P19961	P19961	True
seq.10440.26	CXADR-like membrane protein:Extracellular domain	Q9H6B4	Q9H6B4	True
seq.10442.1	Transmembrane protein 190	Q8WZ59	Q8WZ59	True
seq.10445.20	Apolipoprotein M	O95445	O95445	True
seq.10447.18	Polyadenylate-binding protein 3	Q9H361	Q9H361	True
seq.10449.31	Protein shisa-2 homolog	Q6UWI4	Q6UWI4	True
seq.10451.11	Nucleobindin-1	Q02818	Q02818	True
seq.10453.7	Carcinoembryonic antigen-related cell adhesion molecule 20	Q6UY09	Q6UY09	True
seq.10454.99	DnaJ homolog subfamily C member 16	Q9Y2G8	Q9Y2G8	True
seq.10455.196	Interleukin-31	Q6EBC2	Q6EBC2	True
seq.10457.3	Interleukin-18 receptor accessory protein	O95256	O95256	True
seq.10460.1	Chitotriosidase-1	Q13231	Q13231	True
seq.10462.14	Insulin-like peptide INSL5	Q9Y5Q6	Q9Y5Q6	True
seq.10463.23	Intestinal-type alkaline phosphatase	P09923	P09923	True
seq.10464.6	Anthrax toxin receptor 1	Q9H6X2	Q9H6X2	True
seq.10470.34	Thioredoxin domain-containing protein 11:N-term	Q6PKC3	Q6PKC3	True
seq.10472.53	Tumor necrosis factor receptor superfamily member 14	Q92956	Q92956	True
seq.10473.2	Trefoil factor 2	Q03403	Q03403	True
seq.10479.18	Stromelysin-2	P09238	P09238	True
seq.10480.33	CD59 glycoprotein	P13987	P13987	True
seq.10485.56	Melanoma-associated antigen 4	P43358	P43358	True
seq.10490.3	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1:Cytoplasmic domain	P04843	P04843	True
seq.10496.11	Calcium-activated chloride channel regulator 1	A8K7I4	A8K7I4	True
seq.10499.1	Transmembrane protein 106A	Q96A25	Q96A25	True
seq.10505.12	E3 ubiquitin-protein ligase RNF43	Q68DV7	Q68DV7	True
seq.10506.53	Membrane-associated progesterone receptor component 2	O15173	O15173	True
seq.10507.166	Acrosomal protein SP-10	P26436	P26436	True
seq.10510.62	SLP adapter and CSK-interacting membrane protein	Q6UWF3	Q6UWF3	True
seq.10511.10	Collagen alpha-3(VI) chain:isoform 3	P12111	P12111	True
seq.10512.13	Cytokine receptor common subunit beta:Extracellular domain	P32927	P32927	True
seq.10513.13	Calsenilin	Q9Y2W7	Q9Y2W7	True
seq.10514.5	Prostaglandin-H2 D-isomerase	P41222	P41222	True
seq.10521.10	Matrix-remodeling-associated protein 8:Extracellular domain	Q9BRK3	Q9BRK3	True
seq.10527.22	ATP-dependent RNA helicase A	Q08211	Q08211	True
seq.10528.2	Dipeptidase 1	P16444	P16444	True
seq.10530.8	Proteasome subunit beta type-6	P28072	P28072	True
seq.10531.18	GTPase NRas	P01111	P01111	True
seq.10534.40	Poly [ADP-ribose] polymerase 1:BRCA1 C-terminal:BRCA1 C-terminus domian	P09874	P09874	True
seq.10535.25	Cytochrome c oxidase subunit 6A2, mitochondrial	Q02221	Q02221	True
seq.10539.30	CD99 antigen-like protein 2	Q8TCZ2	Q8TCZ2	True
seq.10546.2	Thrombospondin-type laminin G domain and EAR repeat-containing protein	Q8WU66	Q8WU66	True
seq.10550.37	Bone morphogenetic protein receptor type-1B	O00238	O00238	True
seq.10551.7	Linker for activation of T-cells family member 1	O43561	O43561	True
seq.10552.88	NKG2-F type II integral membrane protein	O43908	O43908	True
seq.10553.8	Torsin-1A-interacting protein 2	Q8NFQ8	Q8NFQ8	True
seq.10554.23	Beta-galactosidase	P16278	P16278	True
seq.10557.6	Testis-expressed sequence 29 protein	Q8N6K0	Q8N6K0	True
seq.10558.26	Protocadherin-9	Q9HC56	Q9HC56	True
seq.10560.1	Integral membrane protein 2C:N-term	Q9NQX7	Q9NQX7	True
seq.10561.5	Peptidoglycan recognition protein 3	Q96LB9	Q96LB9	True
seq.10562.42	Neuropilin and tolloid-like protein 2	Q8NC67	Q8NC67	True
seq.10563.13	LysM and putative peptidoglycan-binding domain-containing protein 3	Q7Z3D4	Q7Z3D4	True
seq.10565.19	SLIT and NTRK-like protein 3	O94933	O94933	True
seq.10569.28	Microfibrillar-associated protein 2	P55001	P55001	True
seq.10571.14	Alpha-1,3-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase	P26572	P26572	True
seq.10572.65	Cystatin-8	O60676	O60676	True
seq.10574.10	Beta-2-microglobulin	P61769	P61769	True
seq.10575.31	Poly(U)-binding-splicing factor PUF60	Q9UHX1	Q9UHX1	True
seq.10576.7	Plexin domain-containing protein 2:Extracellular domain	Q6UX71	Q6UX71	True
seq.10580.14	Surfactant-associated protein 2	Q6UW10	Q6UW10	True
seq.10582.36	Protein O-mannose kinase	Q9H5K3	Q9H5K3	True
seq.10583.1	Transmembrane protein 108	Q6UXF1	Q6UXF1	True
seq.10584.7	NADH dehydrogenase [ubiquinone] iron-sulfur protein 4, mitochondrial	O43181	O43181	True
seq.10588.39	Lactosylceramide alpha-2,3-sialyltransferase	Q9UNP4	Q9UNP4	True
seq.10589.7	Retinoic acid early transcript 1L protein	Q5VY80	Q5VY80	True
seq.10600.24	Calmegin	O14967	O14967	True
seq.10603.1	Histatin-3	P15516	P15516	True
seq.10605.22	Adipocyte plasma membrane-associated protein	Q9HDC9	Q9HDC9	True
seq.10606.34	Torsin-1A-interacting protein 1:Perinuclear domain	Q5JTV8	Q5JTV8	True
seq.10608.9	Histatin-1	P15515	P15515	True
seq.10612.18	Procollagen-lysine,2-oxoglutarate 5-dioxygenase 3	O60568	O60568	True
seq.10613.33	Protein CASC4	Q6P4E1	Q6P4E1	True
seq.10615.18	Myelin protein P0	P25189	P25189	True
seq.10616.67	Podocalyxin-like protein 2	Q9NZ53	Q9NZ53	True
seq.10618.190	Low-density lipoprotein receptor-related protein 2	P98164	P98164	True
seq.10620.21	Beta-microseminoprotein	P08118	P08118	True
seq.10621.26	Protein Largen	Q569H4	Q569H4	True
seq.10623.19	Mucin-1:region 1	P15941	P15941	True
seq.10624.45	Serine protease inhibitor Kazal-type 13	Q1W4C9	Q1W4C9	True
seq.10626.116	Alpha-N-acetylgalactosaminide alpha-2,6-sialyltransferase 3	Q8NDV1	Q8NDV1	True
seq.10627.87	Amyloid-like protein 2	Q06481	Q06481	True
seq.10630.5	Oxidoreductase HTATIP2	Q9BUP3	Q9BUP3	True
seq.10631.9	Membrane-associated progesterone receptor component 2	O15173	O15173	True
seq.10636.1	Cell surface glycoprotein CD200 receptor 1:Isoform 4, Cytoplasmic Domain	Q8TD46	Q8TD46	True
seq.10637.50	UPF0577 protein KIAA1324:Extracellular domain	Q6UXG2	Q6UXG2	True
seq.10638.1	TERF1-interacting nuclear factor 2	Q9BSI4	Q9BSI4	True
seq.10643.16	Noelin-3:Isoform 2, C-term	Q96PB7	Q96PB7	True
seq.10647.18	Activating signal cointegrator 1 complex subunit 1	Q8N9N2	Q8N9N2	True
seq.10663.42	Insulin-induced gene 1 protein	O15503	O15503	True
seq.10666.7	N-acetylglucosamine-1-phosphotransferase subunit gamma	Q9UJJ9	Q9UJJ9	True
seq.10667.78	Uncharacterized protein C1orf185	Q5T7R7	Q5T7R7	True
seq.10668.5	Syntaxin-4	Q12846	Q12846	True
seq.10670.26	Semaphorin-3E	O15041	O15041	True
seq.10672.75	Pulmonary surfactant-associated protein B	P07988	P07988	True
seq.10675.223	Thioredoxin-related transmembrane protein 2	Q9Y320	Q9Y320	True
seq.10677.9	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 4	O95168	O95168	True
seq.10693.43	Killer cell lectin-like receptor subfamily G member 2:C-term	A4D1S0	A4D1S0	True
seq.10695.12	Protein WFDC10B	Q8IUB3	Q8IUB3	True
seq.10699.52	Prolow-density lipoprotein receptor-related protein 1	Q07954	Q07954	True
seq.10700.10	Immunoglobulin superfamily member 11:Cytoplasmic domain	Q5DX21	Q5DX21	True
seq.10702.1	Collagen alpha-1(XXVIII) chain	Q2UY09	Q2UY09	True
seq.10703.203	Sin3 histone deacetylase corepressor complex component SDS3	Q9H7L9	Q9H7L9	True
seq.10704.91	Lymphoid-restricted membrane protein	Q12912	Q12912	True
seq.10705.14	Alpha-N-acetylgalactosaminide alpha-2,6-sialyltransferase 3	Q8NDV1	Q8NDV1	True
seq.10708.3	Progonadoliberin-2	O43555	O43555	True
seq.10710.23	Zona pellucida-binding protein 2	Q6X784	Q6X784	True
seq.10713.151	CMRF35-like molecule 7	A8K4G0	A8K4G0	True
seq.10714.7	Angiotensin-converting enzyme	P12821	P12821	True
seq.10716.35	26S proteasome non-ATPase regulatory subunit 5	Q16401	Q16401	True
seq.10721.76	Internal Use Only: Heat shock 70 kDa protein 1A	P0DMV8	P0DMV8	True
seq.10722.13	Tyrosine-protein kinase SYK:Protein kinase domain	P43405	P43405	True
seq.10731.10	Heparan sulfate glucosamine 3-O-sulfotransferase 5	Q8IZT8	Q8IZT8	True
seq.10734.339	Galactose-3-O-sulfotransferase 2	Q9H3Q3	Q9H3Q3	True
seq.10737.96	Leukocyte elastase inhibitor	P30740	P30740	True
seq.10738.11	Fibulin-5	Q9UBX5	Q9UBX5	True
seq.10741.22	Macrophage colony-stimulating factor 1	P09603	P09603	True
seq.10743.13	SLIT and NTRK-like protein 1	Q96PX8	Q96PX8	True
seq.10746.24	Dickkopf-related protein 3	Q9UBP4	Q9UBP4	True
seq.10748.216	Protocadherin beta-2	Q9Y5E7	Q9Y5E7	True
seq.10749.18	Internal Use Only: Heat shock 70 kDa protein 1A	P0DMV8	P0DMV8	True
seq.10752.8	Chromodomain Y-like protein 2	Q8N8U2	Q8N8U2	True
seq.10753.31	Disintegrin and metalloproteinase domain-containing protein 7	Q9H2U9	Q9H2U9	True
seq.10754.113	Prokineticin-2	Q9HC23	Q9HC23	True
seq.10756.34	Urocortin-3	Q969E3	Q969E3	True
seq.10758.2	Keratocan	O60938	O60938	True
seq.10760.107	Glutamate receptor 4	P48058	P48058	True
seq.10761.5	Transmembrane emp24 domain-containing protein 2	Q15363	Q15363	True
seq.10762.2	Killer cell lectin-like receptor subfamily G member 2:N-term	A4D1S0	A4D1S0	True
seq.10767.52	G-protein coupled receptor 64	Q8IZP9	Q8IZP9	True
seq.10772.21	Chondroitin sulfate N-acetylgalactosaminyltransferase 2	Q8N6G5	Q8N6G5	True
seq.10780.10	Ras-related protein Rab-3D	O95716	O95716	True
seq.10781.19	C-type lectin domain family 4 member G	Q6UXB4	Q6UXB4	True
seq.10785.8	Leucine-rich repeat-containing protein 52	Q8N7C0	Q8N7C0	True
seq.10798.4	CMRF35-like molecule 2	Q496F6	Q496F6	True
seq.10800.15	Serpin H1	P50454	P50454	True
seq.10801.11	Ephrin-A2	O43921	O43921	True
seq.10803.22	Internal Use Only: Heat shock 70 kDa protein 1A	P0DMV8	P0DMV8	True
seq.10809.14	Killer cell lectin-like receptor subfamily B member 1	Q12918	Q12918	True
seq.10814.7	T-cell surface glycoprotein CD1a	P06126	P06126	True
seq.10815.2	Intracellular hyaluronan-binding protein 4	Q5JVS0	Q5JVS0	True
seq.10816.150	Paired immunoglobulin-like type 2 receptor alpha isoform FDF03-M14	Q9UKJ1	Q9UKJ1	True
seq.10817.26	TOMM20-like protein 1	Q6UXN7	Q6UXN7	True
seq.10818.36	Sphingomyelin phosphodiesterase	P17405	P17405	True
seq.10819.108	Fibulin-1	P23142	P23142	True
seq.10825.12	V-set and immunoglobulin domain-containing protein 10	Q8N0Z9	Q8N0Z9	True
seq.10827.67	Leucine-rich repeat and immunoglobulin-like domain-containing nogo receptor-interacting protein 3	P0C6S8	P0C6S8	True
seq.10830.5	EF-hand calcium-binding domain-containing protein 14:N-term	O75071	O75071	True
seq.10832.24	Beta-1,4-galactosyltransferase 6	Q9UBX8	Q9UBX8	True
seq.10833.64	Hedgehog-interacting protein	Q96QV1	Q96QV1	True
seq.10835.25	Alpha-1,4-N-acetylglucosaminyltransferase	Q9UNA3	Q9UNA3	True
seq.10842.7	Beta-1,3-galactosyl-O-glycosyl-glycoprotein beta-1,6-N-acetylglucosaminyltransferase 4	Q9P109	Q9P109	True
seq.10847.1	Sialic acid-binding Ig-like lectin 15	Q6ZMC9	Q6ZMC9	True
seq.10848.137	Butyrophilin-like protein 3	Q6UXE8	Q6UXE8	True
seq.10851.77	Interleukin-27 subunit beta	Q14213	Q14213	True
seq.10852.114	Heterogeneous nuclear ribonucleoprotein D-like	O14979	O14979	True
seq.10854.15	Beta-1,3-galactosyl-O-glycosyl-glycoprotein beta-1,6-N-acetylglucosaminyltransferase 4	Q9P109	Q9P109	True
seq.10855.55	Plexin-B2	O15031	O15031	True
seq.10866.60	Serine/threonine-protein phosphatase 4 regulatory subunit 3A	Q6IN85	Q6IN85	True
seq.10870.32	Spastin:Microtubule interacting and trafficking domain	Q9UBP0	Q9UBP0	True
seq.10876.300	BRCA1-associated ATM activator 1	Q6PJG6	Q6PJG6	True
seq.10880.38	Protein FAM163B	P0C2L3	P0C2L3	True
seq.10882.12	Desmocollin-1	Q08554	Q08554	True
seq.10885.36	Bombesin receptor-activated protein C6orf89	Q6UWU4	Q6UWU4	True
seq.10889.2	Melanocortin-2 receptor accessory protein 2	Q96G30	Q96G30	True
seq.10890.135	Lactase-like protein	Q6UWM7	Q6UWM7	True
seq.10892.8	Oncostatin-M-specific receptor subunit beta	Q99650	Q99650	True
seq.10894.25	Secretagogin	O76038	O76038	True
seq.10895.28	Transmembrane protease serine 11B	Q86T26	Q86T26	True
seq.10900.272	Stathmin-2	Q93045	Q93045	True
seq.10902.53	Retroviral-like aspartic protease 1	Q53RT3	Q53RT3	True
seq.10903.50	Syntaxin-8	Q9UNK0	Q9UNK0	True
seq.10907.116	Neurotrimin	Q9P121	Q9P121	True
seq.10908.2	Polypeptide N-acetylgalactosaminyltransferase 13	Q8IUC8	Q8IUC8	True
seq.10910.6	Carcinoembryonic antigen-related cell adhesion molecule 4	O75871	O75871	True
seq.10916.44	Secretory phospholipase A2 receptor	Q13018	Q13018	True
seq.10917.40	Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-T2	O14610	O14610	True
seq.10924.258	Neuferricin	Q8WUJ1	Q8WUJ1	True
seq.10933.107	Calcium-binding protein 8	Q9BXU9	Q9BXU9	True
seq.10938.13	Lymphocyte function-associated antigen 3	P19256	P19256	True
seq.10939.16	Pleckstrin homology domain-containing family A member 4	Q9H4M7	Q9H4M7	True
seq.10940.25	Sarcalumenin	Q86TD4	Q86TD4	True
seq.10945.11	Syntaxin-6	O43752	O43752	True
seq.10948.14	Phospholipase D3	Q8IV08	Q8IV08	True
seq.10949.59	60S acidic ribosomal protein P2	P05387	P05387	True
seq.10953.14	C-type lectin domain family 2 member A	Q6UVW9	Q6UVW9	True
seq.10955.4	C-type lectin domain family 10 member A	Q8IUN9	Q8IUN9	True
seq.10956.82	Glycine cleavage system H protein, mitochondrial	P23434	P23434	True
seq.10959.125	BET1-like protein	Q9NYM9	Q9NYM9	True
seq.10961.15	Retinoic acid receptor responder protein 3	Q9UL19	Q9UL19	True
seq.10966.1	Alpha-2-HS-glycoprotein	P02765	P02765	True
seq.10967.12	Prolactin	P01236	P01236	True
seq.10970.3	Ecto-ADP-ribosyltransferase 3	Q13508	Q13508	True
seq.10974.20	Serine protease inhibitor Kazal-type 7	P58062	P58062	True
seq.10975.59	Mucin-like protein 1	Q96DR8	Q96DR8	True
seq.10976.44	Mucin-1:region 3	P15941	P15941	True
seq.10977.55	Unique cartilage matrix-associated protein	Q8WVF2	Q8WVF2	True
seq.10978.39	Growth hormone variant	P01242	P01242	True
seq.10980.11	Acetylcholinesterase	P22303	P22303	True
seq.10981.56	Pro-neuregulin-3, membrane-bound isoform	P56975	P56975	True
seq.10990.21	Leucine-rich repeat serine/threonine-protein kinase 2	Q5S007	Q5S007	True
seq.11067.13	Osteocalcin	P02818	P02818	True
seq.11071.1	Interleukin-5	P05113	P05113	True
seq.11081.1	Glycerol-3-phosphate dehydrogenase [NAD(+)], cytoplasmic	P21695	P21695	True
seq.11083.23	Gamma-enolase	P09104	P09104	True
seq.11089.7	Immunoglobulin A	P01877|P01876	P01877|P01876	True
seq.11094.104	Galectin-10	Q05315	Q05315	True
seq.11096.57	HemK methyltransferase family member 2	Q9Y5N5	Q9Y5N5	True
seq.11098.1	Pyridoxal kinase	O00764	O00764	True
seq.11101.18	Toll-like receptor 4	O00206	O00206	True
seq.11102.22	Regenerating islet-derived protein 4	Q9BYZ8	Q9BYZ8	True
seq.11103.24	Heat shock protein beta-1	P04792	P04792	True
seq.11104.13	Chitinase-3-like protein 1	P36222	P36222	True
seq.11105.171	Alpha-enolase	P06733	P06733	True
seq.11107.25	Teneurin-3	Q9P273	Q9P273	True
seq.11109.56	Sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1:Sushi 15-18	Q4LDE5	Q4LDE5	True
seq.11110.4	Transmembrane protein 119	Q4V9L6	Q4V9L6	True
seq.11112.18	Protein kish-A	Q8TBQ9	Q8TBQ9	True
seq.11116.16	Uncharacterized protein C11orf87	Q6NUJ2	Q6NUJ2	True
seq.11117.2	Spermatogenesis-associated protein 20	Q8TB22	Q8TB22	True
seq.11118.107	Ras-related protein Rab-17	Q9H0T7	Q9H0T7	True
seq.11120.49	N-acetyltransferase 14	Q8WUY8	Q8WUY8	True
seq.11121.56	Brorin	Q2TAL6	Q2TAL6	True
seq.11122.97	Maspardin	Q9NZD8	Q9NZD8	True
seq.11126.102	Triple functional domain protein	O75962	O75962	True
seq.11128.29	Transmembrane protein 132C:Cytoplasmic domain	Q8N3T6	Q8N3T6	True
seq.11129.66	Bone morphogenetic protein 15	O95972	O95972	True
seq.11130.158	Voltage-dependent L-type calcium channel subunit beta-4	O00305	O00305	True
seq.11134.30	Peptide chain release factor 1-like, mitochondrial	Q9UGC7	Q9UGC7	True
seq.11135.5	39S ribosomal protein L55, mitochondrial	Q7Z7F7	Q7Z7F7	True
seq.11137.43	Cytokine receptor common subunit beta:Cytoplasmic domain	P32927	P32927	True
seq.11138.16	Runt-related transcription factor 3	Q13761	Q13761	True
seq.11140.56	Collagen alpha-1(I) chain:C-term propeptide	P02452	P02452	True
seq.11142.11	Angiopoietin-related protein 1:C-Term, Fibrinogen domian	O95841	O95841	True
seq.11143.32	Noelin-3:Isoform 2, N-term	Q96PB7	Q96PB7	True
seq.11144.10	Beta-defensin 116	Q30KQ4	Q30KQ4	True
seq.11145.72	UPF0606 protein KIAA1549L	Q6ZVL6	Q6ZVL6	True
seq.11146.4	T-box transcription factor TBX22	Q9Y458	Q9Y458	True
seq.11147.17	Trem-like transcript 1 protein:immunoreceptor tyrosine-based inhibition motif	Q86YW5	Q86YW5	True
seq.11149.3	Toll-like receptor 1:Cytoplasmic domain	Q15399	Q15399	True
seq.11150.3	Collagen alpha-1(VI) chain	P12109	P12109	True
seq.11152.46	Kallikrein-13	Q9UKR3	Q9UKR3	True
seq.11154.3	Nuclear factor erythroid 2-related factor 1	Q14494	Q14494	True
seq.11155.16	Collagen alpha-5(VI) chain	A8TX70	A8TX70	True
seq.11157.35	Internal Use Only: Heat shock 70 kDa protein 1A	P0DMV8	P0DMV8	True
seq.11158.40	Bicaudal D-related protein 1	Q6ZP65	Q6ZP65	True
seq.11159.14	Mitochondrial ubiquitin ligase activator of NFKB 1:Cytoplasmic domain	Q969V5	Q969V5	True
seq.11160.56	RING finger protein 122	Q9H9V4	Q9H9V4	True
seq.11161.5	Spartin	Q8N0X7	Q8N0X7	True
seq.11162.37	Equatorin	Q9NQ60	Q9NQ60	True
seq.11163.7	Protein FAM162B	Q5T6X4	Q5T6X4	True
seq.11164.7	Teneurin-2	Q9NT68	Q9NT68	True
seq.11167.6	Myotubularin-related protein 1	Q13613	Q13613	True
seq.11168.3	Multiple epidermal growth factor-like domains protein 10	Q96KG7	Q96KG7	True
seq.11171.25	Filamin-A:Calponin Homology 2	P21333	P21333	True
seq.11173.29	Allergin-1	Q7Z6M3	Q7Z6M3	True
seq.11174.8	Thrombospondin type-1 domain-containing protein 7A:Thrombospondin type-1 domain 6	Q9UPZ6	Q9UPZ6	True
seq.11175.45	Lysophosphatidylcholine acyltransferase 2	Q7L5N7	Q7L5N7	True
seq.11177.16	Keratin, type II cytoskeletal 5	P13647	P13647	True
seq.11178.21	Sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1:EGF-like domains 4-6	Q4LDE5	Q4LDE5	True
seq.11179.7	Testis-specific serine/threonine-protein kinase 1	Q9BXA7	Q9BXA7	True
seq.11180.17	SWI/SNF complex subunit SMARCC1	Q92922	Q92922	True
seq.11184.51	Chromogranin-A	P10645	P10645	True
seq.11185.145	GTP cyclohydrolase 1	P30793	P30793	True
seq.11186.12	Transmembrane protein 52	Q8NDY8	Q8NDY8	True
seq.11187.11	C-type lectin domain family 12 member A	Q5QGZ9	Q5QGZ9	True
seq.11190.129	ATP-dependent zinc metalloprotease YME1L1	Q96TA2	Q96TA2	True
seq.11192.168	Tubulointerstitial nephritis antigen-like	Q9GZM7	Q9GZM7	True
seq.11193.27	Hepatocyte nuclear factor 1-alpha	P20823	P20823	True
seq.11194.6	Signaling threshold-regulating transmembrane adapter 1	Q9Y3P8	Q9Y3P8	True
seq.11196.31	Collagen alpha-3(VI) chain:Bovine pancreatic trypsin inhibitor/Kunitz inhibitor domain, isoform 1	P12111	P12111	True
